Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7171,0.2157,0.7161,0.1315,0.7178,0.2907,0.7178,0.2823,0.7667,0.0669,0.9543,0.4076
2,0.009901,0.7192,0.2090,0.7182,0.1270,0.7199,0.2874,0.7199,0.2806,0.7644,0.0676,0.9535,0.3932
3,0.009901,0.7160,0.2093,0.7150,0.1275,0.7167,0.2901,0.7167,0.2833,0.7657,0.0705,0.9561,0.4289
4,0.009901,0.7173,0.2129,0.7164,0.1328,0.7180,0.2932,0.7180,0.2852,0.7669,0.0672,0.9522,0.4003
5,0.009901,0.7165,0.2075,0.7155,0.1229,0.7173,0.2859,0.7173,0.2783,0.7684,0.0689,0.9476,0.3657
6,0.009901,0.7153,0.2105,0.7144,0.1309,0.7161,0.2882,0.7160,0.2812,0.7675,0.0686,0.9542,0.4130
7,0.009901,0.7172,0.2067,0.7162,0.1249,0.7180,0.2900,0.7180,0.2843,0.7657,0.0693,0.9548,0.4233
8,0.009901,0.7193,0.2180,0.7183,0.1347,0.7200,0.2946,0.7199,0.2868,0.7654,0.0679,0.9565,0.4540
9,0.009901,0.7132,0.2084,0.7122,0.1268,0.7139,0.2854,0.7139,0.2766,0.7677,0.0688,0.9568,0.4479
10,0.009901,0.7156,0.2091,0.7147,0.1296,0.7164,0.2903,0.7164,0.2834,0.7670,0.0688,0.9528,0.4137
