Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7395,0.2401,0.7382,0.1434,0.7404,0.3373,0.7404,0.3312,0.7777,0.0696,0.9641,0.4901
2,0.009901,0.7380,0.2384,0.7368,0.1424,0.7389,0.3299,0.7389,0.3241,0.7774,0.0698,0.9610,0.4452
3,0.009901,0.7343,0.2411,0.7332,0.1452,0.7352,0.3355,0.7352,0.3289,0.7763,0.0736,0.9574,0.4412
4,0.009901,0.7366,0.2415,0.7355,0.1486,0.7375,0.3366,0.7375,0.3311,0.7753,0.0701,0.9684,0.5470
5,0.009901,0.7406,0.2451,0.7393,0.1456,0.7415,0.3436,0.7415,0.3366,0.7773,0.0712,0.9612,0.4833
6,0.009901,0.7392,0.2366,0.7380,0.1453,0.7401,0.3350,0.7401,0.3296,0.7769,0.0708,0.9647,0.5038
7,0.009901,0.7409,0.2489,0.7398,0.1515,0.7418,0.3441,0.7418,0.3374,0.7772,0.0709,0.9640,0.4852
8,0.009901,0.7372,0.2405,0.7360,0.1460,0.7381,0.3358,0.7381,0.3292,0.7776,0.0700,0.9563,0.4453
9,0.009901,0.7373,0.2382,0.7360,0.1411,0.7382,0.3297,0.7382,0.3227,0.7785,0.0707,0.9693,0.5558
10,0.009901,0.7370,0.2418,0.7358,0.1462,0.7379,0.3350,0.7379,0.3285,0.7772,0.0717,0.9604,0.4578
