Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5588,0.0371,0.5587,0.0234,0.5588,0.0343,0.5588,0.0317,0.6768,0.0467,0.8006,0.0689
2,0.009901,0.5493,0.0282,0.5491,0.0204,0.5493,0.0288,0.5493,0.0277,0.6739,0.0497,0.8005,0.0707
3,0.009901,0.5515,0.0296,0.5514,0.0219,0.5515,0.0285,0.5515,0.0277,0.6696,0.0485,0.8022,0.0744
4,0.009901,0.5526,0.0311,0.5524,0.0209,0.5525,0.0299,0.5525,0.0283,0.6637,0.0453,0.7942,0.0636
5,0.009901,0.5560,0.0336,0.5559,0.0234,0.5560,0.0308,0.5560,0.0295,0.6645,0.0491,0.7960,0.0624
6,0.009901,0.5559,0.0349,0.5557,0.0238,0.5559,0.0346,0.5559,0.0324,0.6677,0.0480,0.8017,0.0620
7,0.009901,0.5543,0.0303,0.5541,0.0219,0.5543,0.0324,0.5543,0.0313,0.6665,0.0481,0.8055,0.0756
8,0.009901,0.5496,0.0299,0.5495,0.0209,0.5496,0.0288,0.5496,0.0270,0.6621,0.0456,0.7922,0.0727
9,0.009901,0.5517,0.0309,0.5516,0.0225,0.5517,0.0297,0.5517,0.0284,0.6701,0.0443,0.7981,0.0742
10,0.009901,0.5540,0.0323,0.5539,0.0232,0.5540,0.0325,0.5540,0.0308,0.6657,0.0465,0.7989,0.0616
