Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.4858,0.0096,0.6171,0.0148
2,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.4913,0.0097,0.6212,0.0150
3,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.4922,0.0097,0.6250,0.0148
4,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4953,0.0100,0.5990,0.0136
5,0.009901,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.5042,0.0100,0.6168,0.0145
6,0.009901,0.5003,0.0099,0.5003,0.0099,0.5002,0.0099,0.5002,0.0099,0.5220,0.0105,0.6343,0.0157
7,0.009901,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.4998,0.0099,0.5013,0.0099,0.6295,0.0159
8,0.009901,0.5002,0.0099,0.5002,0.0100,0.5002,0.0099,0.5002,0.0099,0.4979,0.0100,0.6243,0.0154
9,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4956,0.0098,0.6044,0.0140
10,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.4913,0.0097,0.6217,0.0150
