Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.5710,0.5367,0.5833,0.5603
2,0.5802,0.5556,0.5833,0.5598
3,0.5864,0.5635,0.5895,0.5800
4,0.6111,0.5870,0.5864,0.5632
5,0.5833,0.5635,0.5957,0.5739
6,0.5895,0.5814,0.5494,0.5393
7,0.5988,0.5774,0.5957,0.5791
8,0.5926,0.5836,0.5741,0.5651
9,0.5895,0.5660,0.5617,0.5427
10,0.5494,0.5337,0.5648,0.5546
