Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7160,0.6943,0.7377,0.7146
2,0.7222,0.7016,0.7346,0.7211
3,0.7377,0.7207,0.7346,0.7207
4,0.7377,0.7238,0.7531,0.7413
5,0.7438,0.7353,0.7253,0.7153
6,0.7469,0.7367,0.7346,0.7266
7,0.7099,0.6862,0.7315,0.7037
8,0.7438,0.7332,0.7222,0.7080
9,0.7253,0.7037,0.7315,0.7059
10,0.7654,0.7558,0.7346,0.7207
