Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7315,0.7074,0.7253,0.7019
2,0.7438,0.7176,0.7253,0.7041
3,0.7346,0.7142,0.7346,0.7223
4,0.7346,0.7106,0.7253,0.7003
5,0.7438,0.7204,0.7068,0.6821
6,0.7377,0.7349,0.7068,0.7034
7,0.7407,0.7374,0.7222,0.7157
8,0.7377,0.7201,0.7191,0.7043
9,0.7407,0.7386,0.7222,0.7190
10,0.7469,0.7384,0.7191,0.7117
