Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.7439,0.7409,0.7256,0.7266
2,0.3902,0.3072,0.3720,0.3041
3,0.3171,0.1527,0.3079,0.1450
4,0.3750,0.3667,0.3841,0.3767
5,0.7317,0.7239,0.7073,0.7041
6,0.7165,0.7098,0.6982,0.6920
7,0.6433,0.6300,0.6433,0.6354
8,0.4177,0.3949,0.4085,0.3892
9,0.3750,0.2782,0.3811,0.3110
10,0.3780,0.3513,0.4024,0.3734
