Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7142,0.1883,0.7115,0.0694,0.7151,0.2460,0.7151,0.2365,0.8773,0.0894,0.8505,0.1272
2,0.009901,0.7139,0.1860,0.7111,0.0680,0.7148,0.2431,0.7148,0.2341,0.8779,0.0905,0.8485,0.1299
3,0.009901,0.7142,0.1881,0.7114,0.0685,0.7151,0.2467,0.7151,0.2380,0.8782,0.0914,0.8450,0.1041
4,0.009901,0.7141,0.1864,0.7113,0.0686,0.7149,0.2444,0.7150,0.2372,0.8777,0.0912,0.8470,0.1011
5,0.009901,0.7142,0.1848,0.7114,0.0681,0.7150,0.2433,0.7151,0.2353,0.8777,0.0920,0.8462,0.1030
6,0.009901,0.7144,0.1862,0.7117,0.0700,0.7153,0.2447,0.7153,0.2376,0.8777,0.0917,0.8398,0.0923
7,0.009901,0.7142,0.1870,0.7116,0.0697,0.7151,0.2451,0.7151,0.2374,0.8774,0.0919,0.8560,0.1303
8,0.009901,0.7143,0.1869,0.7115,0.0692,0.7151,0.2430,0.7151,0.2336,0.8779,0.0917,0.8337,0.1099
9,0.009901,0.7138,0.1848,0.7110,0.0679,0.7147,0.2423,0.7147,0.2343,0.8772,0.0908,0.8437,0.1010
10,0.009901,0.7140,0.1834,0.7113,0.0686,0.7148,0.2406,0.7148,0.2330,0.8775,0.0924,0.8463,0.1080
