Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6961,0.1729,0.6938,0.0644,0.6967,0.2184,0.6967,0.2012,0.8663,0.0879,0.8249,0.0759
2,0.009901,0.6989,0.1641,0.6967,0.0643,0.6997,0.2119,0.6996,0.1982,0.8648,0.0895,0.8367,0.1130
3,0.009901,0.6990,0.1704,0.6967,0.0648,0.6997,0.2177,0.6997,0.2037,0.8655,0.0897,0.8128,0.0695
4,0.009901,0.7000,0.1694,0.6977,0.0659,0.7006,0.2154,0.7006,0.2022,0.8662,0.0890,0.8362,0.1133
5,0.009901,0.6983,0.1687,0.6960,0.0644,0.6990,0.2172,0.6990,0.2036,0.8643,0.0903,0.8090,0.0792
6,0.009901,0.6984,0.1684,0.6962,0.0662,0.6991,0.2153,0.6990,0.2019,0.8649,0.0899,0.8275,0.0831
7,0.009901,0.6973,0.1675,0.6952,0.0657,0.6980,0.2132,0.6980,0.1991,0.8647,0.0899,0.8289,0.0849
8,0.009901,0.6967,0.1680,0.6945,0.0641,0.6974,0.2153,0.6974,0.1999,0.8664,0.0894,0.8187,0.1029
9,0.009901,0.6945,0.1680,0.6922,0.0621,0.6952,0.2126,0.6952,0.1970,0.8650,0.0888,0.8219,0.0959
10,0.009901,0.7009,0.1688,0.6986,0.0658,0.7016,0.2158,0.7016,0.2028,0.8659,0.0906,0.8079,0.0710
