Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6815,0.1491,0.6796,0.0585,0.6820,0.1861,0.6820,0.1674,0.8559,0.0862,0.8251,0.1066
2,0.009901,0.6782,0.1443,0.6764,0.0568,0.6788,0.1825,0.6788,0.1657,0.8553,0.0867,0.8130,0.0874
3,0.009901,0.6828,0.1572,0.6809,0.0608,0.6834,0.1945,0.6833,0.1752,0.8557,0.0886,0.8015,0.0662
4,0.009901,0.6825,0.1526,0.6806,0.0593,0.6831,0.1926,0.6831,0.1753,0.8566,0.0880,0.8092,0.0753
5,0.009901,0.6865,0.1563,0.6846,0.0626,0.6871,0.1955,0.6870,0.1787,0.8571,0.0885,0.8085,0.0797
6,0.009901,0.6848,0.1491,0.6829,0.0609,0.6853,0.1871,0.6853,0.1709,0.8570,0.0890,0.8068,0.0688
7,0.009901,0.6835,0.1549,0.6816,0.0608,0.6841,0.1924,0.6840,0.1748,0.8560,0.0887,0.8249,0.0817
8,0.009901,0.6870,0.1596,0.6851,0.0621,0.6876,0.1962,0.6876,0.1766,0.8548,0.0886,0.8033,0.0643
9,0.009901,0.6731,0.1459,0.6713,0.0561,0.6737,0.1807,0.6736,0.1631,0.8559,0.0883,0.8074,0.0737
10,0.009901,0.6870,0.1529,0.6851,0.0626,0.6876,0.1911,0.6875,0.1753,0.8535,0.0902,0.7819,0.0552
