Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6730,0.1450,0.6713,0.0568,0.6735,0.1762,0.6734,0.1551,0.8503,0.0862,0.8106,0.0961
2,0.009901,0.6768,0.1411,0.6751,0.0580,0.6773,0.1768,0.6773,0.1586,0.8516,0.0872,0.7870,0.0523
3,0.009901,0.6731,0.1447,0.6713,0.0562,0.6736,0.1767,0.6735,0.1571,0.8534,0.0869,0.7951,0.0843
4,0.009901,0.6746,0.1427,0.6729,0.0589,0.6750,0.1736,0.6749,0.1560,0.8524,0.0867,0.7991,0.0630
5,0.009901,0.6704,0.1416,0.6686,0.0549,0.6708,0.1744,0.6708,0.1548,0.8499,0.0882,0.7772,0.0554
6,0.009901,0.6741,0.1427,0.6725,0.0585,0.6746,0.1762,0.6746,0.1569,0.8508,0.0876,0.8311,0.1202
7,0.009901,0.6748,0.1444,0.6730,0.0579,0.6752,0.1746,0.6751,0.1553,0.8515,0.0872,0.8139,0.0866
8,0.009901,0.6678,0.1376,0.6662,0.0547,0.6683,0.1682,0.6682,0.1494,0.8527,0.0871,0.7955,0.0638
9,0.009901,0.6714,0.1422,0.6697,0.0551,0.6719,0.1740,0.6719,0.1543,0.8504,0.0872,0.7882,0.0627
10,0.009901,0.6745,0.1392,0.6728,0.0562,0.6751,0.1734,0.6750,0.1559,0.8513,0.0887,0.7931,0.0680
