Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6586,0.1256,0.6571,0.0512,0.6589,0.1511,0.6589,0.1312,0.8438,0.0836,0.8010,0.0989
2,0.009901,0.6588,0.1240,0.6573,0.0507,0.6592,0.1499,0.6591,0.1309,0.8437,0.0847,0.7886,0.0789
3,0.009901,0.6577,0.1291,0.6562,0.0523,0.6580,0.1511,0.6579,0.1304,0.8439,0.0856,0.7825,0.0778
4,0.009901,0.6577,0.1242,0.6563,0.0515,0.6581,0.1509,0.6581,0.1327,0.8442,0.0846,0.7844,0.0755
5,0.009901,0.6620,0.1316,0.6605,0.0536,0.6624,0.1589,0.6623,0.1396,0.8467,0.0863,0.7903,0.0736
6,0.009901,0.6649,0.1292,0.6634,0.0545,0.6653,0.1565,0.6653,0.1369,0.8448,0.0872,0.7746,0.0503
7,0.009901,0.6608,0.1307,0.6593,0.0529,0.6612,0.1570,0.6611,0.1381,0.8448,0.0859,0.8053,0.0832
8,0.009901,0.6617,0.1329,0.6603,0.0538,0.6621,0.1568,0.6620,0.1358,0.8430,0.0856,0.7619,0.0907
9,0.009901,0.6520,0.1224,0.6506,0.0490,0.6524,0.1446,0.6523,0.1246,0.8450,0.0863,0.7784,0.0575
10,0.009901,0.6650,0.1309,0.6635,0.0552,0.6654,0.1575,0.6653,0.1383,0.8434,0.0880,0.7729,0.0514
