Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6875,0.2478,0.6873,0.1989,0.6877,0.2978,0.6877,0.2941,0.7712,0.0995,0.9846,0.7110
2,0.009901,0.6900,0.2584,0.6898,0.2072,0.6902,0.3077,0.6902,0.3026,0.7689,0.1047,0.9820,0.6771
3,0.009901,0.6898,0.2509,0.6897,0.2043,0.6900,0.3006,0.6900,0.2976,0.7703,0.1006,0.9855,0.7427
4,0.009901,0.6897,0.2547,0.6896,0.2100,0.6899,0.3014,0.6899,0.2982,0.7719,0.0986,0.9853,0.7363
5,0.009901,0.6875,0.2494,0.6873,0.1963,0.6877,0.2979,0.6877,0.2949,0.7684,0.1014,0.9835,0.6867
6,0.009901,0.6869,0.2526,0.6867,0.1991,0.6871,0.3013,0.6871,0.2957,0.7703,0.1021,0.9857,0.7272
7,0.009901,0.6891,0.2522,0.6889,0.2004,0.6892,0.3032,0.6892,0.2989,0.7709,0.1020,0.9861,0.7278
8,0.009901,0.6913,0.2587,0.6911,0.2058,0.6915,0.3040,0.6915,0.2975,0.7696,0.1031,0.9856,0.7322
9,0.009901,0.6919,0.2572,0.6917,0.2056,0.6920,0.3058,0.6920,0.3019,0.7706,0.1027,0.9810,0.6671
10,0.009901,0.6887,0.2552,0.6885,0.2036,0.6888,0.3001,0.6888,0.2957,0.7703,0.1013,0.9834,0.6885
