Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6749,0.2276,0.6747,0.1790,0.6751,0.2668,0.6750,0.2603,0.7600,0.0972,0.9791,0.6724
2,0.009901,0.6728,0.2299,0.6726,0.1810,0.6729,0.2670,0.6729,0.2592,0.7595,0.0990,0.9741,0.6048
3,0.009901,0.6724,0.2225,0.6722,0.1764,0.6725,0.2606,0.6725,0.2552,0.7609,0.0962,0.9764,0.6544
4,0.009901,0.6759,0.2335,0.6758,0.1874,0.6761,0.2729,0.6761,0.2662,0.7612,0.0950,0.9772,0.6526
5,0.009901,0.6751,0.2297,0.6749,0.1789,0.6753,0.2710,0.6753,0.2650,0.7590,0.0980,0.9779,0.6487
6,0.009901,0.6768,0.2338,0.6767,0.1854,0.6770,0.2721,0.6770,0.2652,0.7595,0.0957,0.9796,0.6590
7,0.009901,0.6726,0.2245,0.6725,0.1805,0.6728,0.2664,0.6728,0.2623,0.7599,0.0984,0.9770,0.6457
8,0.009901,0.6747,0.2316,0.6745,0.1817,0.6749,0.2662,0.6748,0.2588,0.7597,0.0990,0.9786,0.6714
9,0.009901,0.6685,0.2192,0.6683,0.1730,0.6686,0.2570,0.6686,0.2506,0.7623,0.1005,0.9773,0.6437
10,0.009901,0.6733,0.2272,0.6731,0.1794,0.6734,0.2665,0.6734,0.2613,0.7598,0.0975,0.9767,0.6232
