Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6637,0.2106,0.6636,0.1664,0.6639,0.2465,0.6639,0.2397,0.7573,0.0946,0.9713,0.5844
2,0.009901,0.6666,0.2188,0.6665,0.1741,0.6668,0.2520,0.6667,0.2445,0.7556,0.0983,0.9749,0.6315
3,0.009901,0.6687,0.2163,0.6685,0.1708,0.6688,0.2525,0.6688,0.2475,0.7603,0.0941,0.9775,0.6737
4,0.009901,0.6694,0.2204,0.6693,0.1785,0.6696,0.2558,0.6695,0.2510,0.7600,0.0918,0.9757,0.6366
5,0.009901,0.6658,0.2140,0.6656,0.1652,0.6659,0.2500,0.6659,0.2438,0.7569,0.0953,0.9763,0.6270
6,0.009901,0.6647,0.2160,0.6646,0.1695,0.6649,0.2504,0.6649,0.2420,0.7571,0.0956,0.9759,0.6391
7,0.009901,0.6698,0.2223,0.6696,0.1742,0.6699,0.2603,0.6699,0.2535,0.7594,0.0948,0.9713,0.5983
8,0.009901,0.6685,0.2237,0.6683,0.1726,0.6686,0.2568,0.6686,0.2477,0.7575,0.0970,0.9733,0.6021
9,0.009901,0.6746,0.2290,0.6744,0.1822,0.6747,0.2651,0.6747,0.2580,0.7584,0.0979,0.9779,0.6508
10,0.009901,0.6695,0.2240,0.6693,0.1757,0.6696,0.2563,0.6696,0.2489,0.7591,0.0962,0.9713,0.5845
