Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7140,0.1883,0.7113,0.0693,0.7148,0.2458,0.7148,0.2362,0.8771,0.0894,0.8506,0.1266
2,0.009901,0.7137,0.1853,0.7110,0.0679,0.7146,0.2425,0.7146,0.2336,0.8778,0.0905,0.8484,0.1305
3,0.009901,0.7141,0.1876,0.7114,0.0684,0.7150,0.2460,0.7150,0.2373,0.8781,0.0913,0.8432,0.1002
4,0.009901,0.7140,0.1864,0.7113,0.0687,0.7149,0.2445,0.7149,0.2373,0.8775,0.0912,0.8535,0.1288
5,0.009901,0.7140,0.1845,0.7112,0.0680,0.7149,0.2428,0.7149,0.2348,0.8775,0.0920,0.8477,0.1053
6,0.009901,0.7143,0.1858,0.7116,0.0701,0.7151,0.2443,0.7152,0.2373,0.8775,0.0917,0.8381,0.0905
7,0.009901,0.7138,0.1865,0.7111,0.0696,0.7146,0.2440,0.7146,0.2361,0.8773,0.0918,0.8552,0.1301
8,0.009901,0.7141,0.1867,0.7114,0.0693,0.7149,0.2425,0.7149,0.2330,0.8778,0.0916,0.8352,0.1115
9,0.009901,0.7137,0.1847,0.7110,0.0679,0.7146,0.2422,0.7147,0.2342,0.8769,0.0908,0.8419,0.0947
10,0.009901,0.7140,0.1834,0.7113,0.0686,0.7148,0.2406,0.7148,0.2330,0.8774,0.0924,0.8442,0.1192
