Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.8045,0.8048,0.8301,0.8302
2,0.6763,0.6106,0.6699,0.5997
3,0.7949,0.7951,0.8301,0.8302
4,0.7821,0.7798,0.8045,0.8039
5,0.8013,0.8009,0.8301,0.8304
6,0.7917,0.7895,0.8237,0.8231
7,0.7756,0.7759,0.8237,0.8243
8,0.7564,0.7592,0.7917,0.7921
9,0.8173,0.8169,0.8397,0.8396
10,0.8013,0.8007,0.8205,0.8209
