Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5138,0.0118,0.5138,0.0109,0.5138,0.0116,0.5138,0.0115,0.6160,0.0298,0.6905,0.0253
2,0.009901,0.5136,0.0117,0.5136,0.0110,0.5136,0.0113,0.5136,0.0113,0.6178,0.0328,0.6898,0.0247
3,0.009901,0.5123,0.0120,0.5122,0.0110,0.5123,0.0115,0.5123,0.0114,0.5994,0.0306,0.6913,0.0264
4,0.009901,0.5116,0.0112,0.5116,0.0107,0.5116,0.0111,0.5116,0.0110,0.6048,0.0323,0.6911,0.0282
5,0.009901,0.5147,0.0123,0.5147,0.0111,0.5147,0.0118,0.5147,0.0116,0.6070,0.0317,0.6976,0.0283
6,0.009901,0.5128,0.0116,0.5127,0.0109,0.5128,0.0112,0.5128,0.0112,0.6076,0.0315,0.6916,0.0270
7,0.009901,0.5148,0.0116,0.5147,0.0112,0.5148,0.0118,0.5148,0.0118,0.6051,0.0279,0.7067,0.0301
8,0.009901,0.5123,0.0112,0.5123,0.0108,0.5123,0.0111,0.5123,0.0110,0.6095,0.0307,0.6836,0.0240
9,0.009901,0.5144,0.0123,0.5144,0.0110,0.5144,0.0117,0.5144,0.0116,0.6108,0.0322,0.6955,0.0255
10,0.009901,0.5155,0.0121,0.5155,0.0111,0.5155,0.0118,0.5155,0.0118,0.6063,0.0293,0.6823,0.0255
