Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.5705,0.5168,0.5577,0.4985
2,0.5865,0.5284,0.5160,0.4608
3,0.6731,0.6640,0.6218,0.6047
4,0.6186,0.6180,0.6635,0.6622
5,0.5481,0.4953,0.5513,0.4923
6,0.6442,0.6417,0.6058,0.5985
7,0.5929,0.5781,0.6090,0.5996
8,0.5865,0.5814,0.6154,0.6091
9,0.6090,0.6058,0.6442,0.6331
10,0.6314,0.6225,0.6506,0.6437
