Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7028,0.1760,0.7004,0.0658,0.7035,0.2244,0.7035,0.2103,0.8686,0.0882,0.8361,0.0935
2,0.009901,0.7028,0.1707,0.7003,0.0649,0.7035,0.2211,0.7035,0.2081,0.8674,0.0897,0.8210,0.0750
3,0.009901,0.7037,0.1761,0.7013,0.0667,0.7044,0.2273,0.7044,0.2142,0.8670,0.0907,0.8358,0.1045
4,0.009901,0.7046,0.1744,0.7022,0.0657,0.7054,0.2251,0.7054,0.2134,0.8696,0.0902,0.8400,0.1139
5,0.009901,0.7026,0.1733,0.7003,0.0656,0.7034,0.2245,0.7034,0.2123,0.8685,0.0908,0.8272,0.0844
6,0.009901,0.7051,0.1738,0.7027,0.0672,0.7059,0.2262,0.7059,0.2150,0.8695,0.0910,0.8542,0.1367
7,0.009901,0.7042,0.1748,0.7018,0.0674,0.7049,0.2259,0.7049,0.2139,0.8690,0.0906,0.8277,0.0746
8,0.009901,0.7061,0.1789,0.7036,0.0673,0.7069,0.2288,0.7068,0.2143,0.8680,0.0905,0.8264,0.0941
9,0.009901,0.6980,0.1697,0.6957,0.0636,0.6988,0.2169,0.6988,0.2041,0.8692,0.0899,0.8297,0.1146
10,0.009901,0.7041,0.1713,0.7017,0.0667,0.7049,0.2221,0.7049,0.2116,0.8679,0.0917,0.8165,0.0745
