Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7114,0.1860,0.7087,0.0685,0.7122,0.2419,0.7122,0.2312,0.8754,0.0892,0.8484,0.1250
2,0.009901,0.7125,0.1837,0.7098,0.0679,0.7134,0.2394,0.7134,0.2295,0.8758,0.0901,0.8468,0.1381
3,0.009901,0.7113,0.1844,0.7086,0.0675,0.7122,0.2400,0.7122,0.2301,0.8758,0.0910,0.8294,0.0806
4,0.009901,0.7125,0.1843,0.7099,0.0686,0.7134,0.2417,0.7134,0.2340,0.8764,0.0908,0.8539,0.1259
5,0.009901,0.7124,0.1832,0.7097,0.0679,0.7132,0.2400,0.7133,0.2309,0.8752,0.0917,0.8308,0.0810
6,0.009901,0.7121,0.1847,0.7095,0.0697,0.7130,0.2421,0.7130,0.2341,0.8759,0.0916,0.8270,0.0831
7,0.009901,0.7101,0.1817,0.7075,0.0683,0.7110,0.2378,0.7110,0.2287,0.8756,0.0916,0.8394,0.0897
8,0.009901,0.7107,0.1829,0.7081,0.0680,0.7116,0.2384,0.7116,0.2283,0.8763,0.0913,0.8317,0.1109
9,0.009901,0.7112,0.1818,0.7085,0.0670,0.7121,0.2382,0.7121,0.2294,0.8750,0.0906,0.8374,0.0875
10,0.009901,0.7126,0.1817,0.7099,0.0683,0.7134,0.2379,0.7134,0.2294,0.8761,0.0922,0.8460,0.1081
