Run,Test Accuracy,Test F1,Val Accuracy,Val F1
1,0.4444,0.4170,0.3858,0.3572
2,0.4198,0.3994,0.3858,0.3708
3,0.4475,0.4321,0.3920,0.3842
4,0.4105,0.3917,0.4321,0.4112
5,0.4167,0.3923,0.4167,0.3964
6,0.4414,0.4306,0.4043,0.4009
7,0.4228,0.4028,0.3981,0.3768
8,0.3951,0.3617,0.3889,0.3598
9,0.4167,0.4081,0.3981,0.3898
10,0.3889,0.3640,0.4012,0.3790
